player_a,x,y,player_b,pass_count
Alphonso Davies,58.68478260869565,11.180434782608694,Dayotchanculle Upamecano,4
Alphonso Davies,58.68478260869565,11.180434782608694,Harry Kane,3
Alphonso Davies,58.68478260869565,11.180434782608694,Joshua Kimmich,10
Alphonso Davies,58.68478260869565,11.180434782608694,Leon Goretzka,11
Alphonso Davies,58.68478260869565,11.180434782608694,Leroy Sané,2
Alphonso Davies,58.68478260869565,11.180434782608694,Min Jae Kim,33
Alphonso Davies,58.68478260869565,11.180434782608694,Serge Gnabry,18
Alphonso Davies,58.68478260869565,11.180434782608694,Sven Ulreich,2
Alphonso Davies,58.68478260869565,11.180434782608694,Thomas Müller,3
Dayotchanculle Upamecano,47.00217391304348,54.11086956521739,Harry Kane,1
Dayotchanculle Upamecano,47.00217391304348,54.11086956521739,Joshua Kimmich,18
Dayotchanculle Upamecano,47.00217391304348,54.11086956521739,Konrad Laimer,18
Dayotchanculle Upamecano,47.00217391304348,54.11086956521739,Leon Goretzka,10
Dayotchanculle Upamecano,47.00217391304348,54.11086956521739,Leroy Sané,6
Dayotchanculle Upamecano,47.00217391304348,54.11086956521739,Min Jae Kim,24
Dayotchanculle Upamecano,47.00217391304348,54.11086956521739,Sven Ulreich,6
Dayotchanculle Upamecano,47.00217391304348,54.11086956521739,Thomas Müller,1
Harry Kane,72.2125,39.15,Joshua Kimmich,3
Harry Kane,72.2125,39.15,Konrad Laimer,3
Harry Kane,72.2125,39.15,Leon Goretzka,2
Harry Kane,72.2125,39.15,Leroy Sané,1
Harry Kane,72.2125,39.15,Min Jae Kim,3
Harry Kane,72.2125,39.15,Serge Gnabry,3
Harry Kane,72.2125,39.15,Thomas Müller,5
Joshua Kimmich,58.69672131147541,43.58032786885246,Konrad Laimer,16
Joshua Kimmich,58.69672131147541,43.58032786885246,Leon Goretzka,11
Joshua Kimmich,58.69672131147541,43.58032786885246,Leroy Sané,9
Joshua Kimmich,58.69672131147541,43.58032786885246,Min Jae Kim,30
Joshua Kimmich,58.69672131147541,43.58032786885246,Serge Gnabry,4
Joshua Kimmich,58.69672131147541,43.58032786885246,Sven Ulreich,10
Joshua Kimmich,58.69672131147541,43.58032786885246,Thomas Müller,11
Konrad Laimer,67.90285714285714,73.83142857142857,Leon Goretzka,1
Konrad Laimer,67.90285714285714,73.83142857142857,Leroy Sané,17
Konrad Laimer,67.90285714285714,73.83142857142857,Min Jae Kim,1
Konrad Laimer,67.90285714285714,73.83142857142857,Sven Ulreich,1
Konrad Laimer,67.90285714285714,73.83142857142857,Thomas Müller,7
Leon Goretzka,51.37105263157895,26.005263157894735,Leroy Sané,2
Leon Goretzka,51.37105263157895,26.005263157894735,Min Jae Kim,15
Leon Goretzka,51.37105263157895,26.005263157894735,Serge Gnabry,12
Leon Goretzka,51.37105263157895,26.005263157894735,Sven Ulreich,2
Leon Goretzka,51.37105263157895,26.005263157894735,Thomas Müller,4
Leroy Sané,84.21304347826087,61.47391304347826,Min Jae Kim,1
Leroy Sané,84.21304347826087,61.47391304347826,Serge Gnabry,3
Leroy Sané,84.21304347826087,61.47391304347826,Sven Ulreich,1
Leroy Sané,84.21304347826087,61.47391304347826,Thomas Müller,9
Min Jae Kim,42.46875,24.7890625,Serge Gnabry,5
Min Jae Kim,42.46875,24.7890625,Sven Ulreich,13
Serge Gnabry,73.93636363636364,23.65,Sven Ulreich,1
Serge Gnabry,73.93636363636364,23.65,Thomas Müller,4
Sven Ulreich,13.175,42.21,Thomas Müller,5
