player_a,x,y,player_b,pass_count
Kiliann Sildillia,43.40555555555555,71.0611111111111,Lucas Höler,2
Kiliann Sildillia,43.40555555555555,71.0611111111111,Matthias Ginter,13
Kiliann Sildillia,43.40555555555555,71.0611111111111,Maximilian Eggestein,6
Kiliann Sildillia,43.40555555555555,71.0611111111111,Merlin Röhl,2
Kiliann Sildillia,43.40555555555555,71.0611111111111,Nicolas Höfler,1
Kiliann Sildillia,43.40555555555555,71.0611111111111,Noah Atubolu,3
Kiliann Sildillia,43.40555555555555,71.0611111111111,Philipp Lienhart,1
Kiliann Sildillia,43.40555555555555,71.0611111111111,Ritsu Doan,5
Lucas Höler,64.4,36.1,Lukas Kübler,3
Lucas Höler,64.4,36.1,Matthias Ginter,2
Lucas Höler,64.4,36.1,Maximilian Eggestein,1
Lucas Höler,64.4,36.1,Merlin Röhl,3
Lucas Höler,64.4,36.1,Nicolas Höfler,1
Lucas Höler,64.4,36.1,Noah Atubolu,5
Lucas Höler,64.4,36.1,Philipp Lienhart,2
Lucas Höler,64.4,36.1,Ritsu Doan,1
Lucas Höler,64.4,36.1,Vincenzo Grifo,1
Lukas Kübler,49.699999999999996,10.785714285714286,Matthias Ginter,1
Lukas Kübler,49.699999999999996,10.785714285714286,Maximilian Eggestein,1
Lukas Kübler,49.699999999999996,10.785714285714286,Merlin Röhl,2
Lukas Kübler,49.699999999999996,10.785714285714286,Nicolas Höfler,3
Lukas Kübler,49.699999999999996,10.785714285714286,Philipp Lienhart,2
Lukas Kübler,49.699999999999996,10.785714285714286,Vincenzo Grifo,3
Matthias Ginter,35.18421052631579,61.731578947368426,Maximilian Eggestein,1
Matthias Ginter,35.18421052631579,61.731578947368426,Merlin Röhl,2
Matthias Ginter,35.18421052631579,61.731578947368426,Nicolas Höfler,4
Matthias Ginter,35.18421052631579,61.731578947368426,Noah Atubolu,10
Matthias Ginter,35.18421052631579,61.731578947368426,Philipp Lienhart,4
Matthias Ginter,35.18421052631579,61.731578947368426,Vincenzo Grifo,1
Maximilian Eggestein,43.78,60.330000000000005,Merlin Röhl,2
Maximilian Eggestein,43.78,60.330000000000005,Nicolas Höfler,2
Maximilian Eggestein,43.78,60.330000000000005,Noah Atubolu,1
Maximilian Eggestein,43.78,60.330000000000005,Philipp Lienhart,1
Maximilian Eggestein,43.78,60.330000000000005,Ritsu Doan,6
Merlin Röhl,48.32,42.36,Nicolas Höfler,2
Merlin Röhl,48.32,42.36,Philipp Lienhart,1
Merlin Röhl,48.32,42.36,Ritsu Doan,2
Nicolas Höfler,39.208333333333336,40.00833333333333,Noah Atubolu,2
Nicolas Höfler,39.208333333333336,40.00833333333333,Philipp Lienhart,6
Noah Atubolu,10.336363636363636,45.20909090909091,Philipp Lienhart,12
Noah Atubolu,10.336363636363636,45.20909090909091,Vincenzo Grifo,2
Philipp Lienhart,29.53888888888889,28.450000000000003,Vincenzo Grifo,5
