player_a,x,y,player_b,pass_count
Emre Can,43.144,55.843999999999994,Gregor Kobel,3
Emre Can,43.144,55.843999999999994,Jamie Jermaine Bynoe-Gittens,1
Emre Can,43.144,55.843999999999994,Julian Brandt,15
Emre Can,43.144,55.843999999999994,Julian Ryerson,1
Emre Can,43.144,55.843999999999994,Marco Reus,3
Emre Can,43.144,55.843999999999994,Marius Wolf,11
Emre Can,43.144,55.843999999999994,Mats Hummels,6
Emre Can,43.144,55.843999999999994,Niclas Füllkrug,3
Emre Can,43.144,55.843999999999994,Nico Schlotterbeck,6
Gregor Kobel,9.6125,44.11875,Julian Ryerson,3
Gregor Kobel,9.6125,44.11875,Marcel Sabitzer,1
Gregor Kobel,9.6125,44.11875,Marius Wolf,6
Gregor Kobel,9.6125,44.11875,Mats Hummels,1
Gregor Kobel,9.6125,44.11875,Niclas Füllkrug,4
Gregor Kobel,9.6125,44.11875,Nico Schlotterbeck,8
Jamie Jermaine Bynoe-Gittens,69.1375,25.6375,Julian Brandt,9
Jamie Jermaine Bynoe-Gittens,69.1375,25.6375,Julian Ryerson,2
Jamie Jermaine Bynoe-Gittens,69.1375,25.6375,Marcel Sabitzer,3
Jamie Jermaine Bynoe-Gittens,69.1375,25.6375,Marco Reus,1
Jamie Jermaine Bynoe-Gittens,69.1375,25.6375,Marius Wolf,4
Jamie Jermaine Bynoe-Gittens,69.1375,25.6375,Niclas Füllkrug,4
Jamie Jermaine Bynoe-Gittens,69.1375,25.6375,Nico Schlotterbeck,2
Julian Brandt,52.483999999999995,52.548,Julian Ryerson,3
Julian Brandt,52.483999999999995,52.548,Marcel Sabitzer,2
Julian Brandt,52.483999999999995,52.548,Marco Reus,3
Julian Brandt,52.483999999999995,52.548,Marius Wolf,6
Julian Brandt,52.483999999999995,52.548,Mats Hummels,6
Julian Brandt,52.483999999999995,52.548,Niclas Füllkrug,4
Julian Brandt,52.483999999999995,52.548,Nico Schlotterbeck,2
Julian Ryerson,53.652631578947364,11.08421052631579,Marcel Sabitzer,7
Julian Ryerson,53.652631578947364,11.08421052631579,Mats Hummels,4
Julian Ryerson,53.652631578947364,11.08421052631579,Niclas Füllkrug,5
Julian Ryerson,53.652631578947364,11.08421052631579,Nico Schlotterbeck,7
Marcel Sabitzer,60.18333333333333,27.891666666666666,Marco Reus,2
Marcel Sabitzer,60.18333333333333,27.891666666666666,Marius Wolf,2
Marcel Sabitzer,60.18333333333333,27.891666666666666,Mats Hummels,3
Marcel Sabitzer,60.18333333333333,27.891666666666666,Niclas Füllkrug,3
Marcel Sabitzer,60.18333333333333,27.891666666666666,Nico Schlotterbeck,3
Marco Reus,65.28333333333333,50.65,Marius Wolf,1
Marco Reus,65.28333333333333,50.65,Niclas Füllkrug,5
Marius Wolf,45.847368421052636,74.06315789473685,Mats Hummels,3
Marius Wolf,45.847368421052636,74.06315789473685,Niclas Füllkrug,4
Marius Wolf,45.847368421052636,74.06315789473685,Nico Schlotterbeck,1
Mats Hummels,46.57333333333334,52.70666666666667,Niclas Füllkrug,1
Mats Hummels,46.57333333333334,52.70666666666667,Nico Schlotterbeck,1
Niclas Füllkrug,63.74285714285714,43.878571428571426,Nico Schlotterbeck,3
