player_a,x,y,player_b,pass_count
Benjamin Šeško,72.72500000000001,35.15,Daniel Olmo Carvajal,5
Benjamin Šeško,72.72500000000001,35.15,David Raum,6
Benjamin Šeško,72.72500000000001,35.15,Ikoma Loïs Openda,3
Benjamin Šeško,72.72500000000001,35.15,Janis Blaswich,2
Benjamin Šeško,72.72500000000001,35.15,Junior Castello Lukeba,2
Benjamin Šeško,72.72500000000001,35.15,Lukas Klostermann,3
Benjamin Šeško,72.72500000000001,35.15,Mohamed Simakan,1
Benjamin Šeško,72.72500000000001,35.15,Nicolas Seiwald,3
Benjamin Šeško,72.72500000000001,35.15,Xaver Schlager,1
Benjamin Šeško,72.72500000000001,35.15,Xavi Simons,6
Daniel Olmo Carvajal,68.85000000000001,19.795454545454547,David Raum,7
Daniel Olmo Carvajal,68.85000000000001,19.795454545454547,Ikoma Loïs Openda,6
Daniel Olmo Carvajal,68.85000000000001,19.795454545454547,Janis Blaswich,3
Daniel Olmo Carvajal,68.85000000000001,19.795454545454547,Junior Castello Lukeba,2
Daniel Olmo Carvajal,68.85000000000001,19.795454545454547,Lukas Klostermann,1
Daniel Olmo Carvajal,68.85000000000001,19.795454545454547,Mohamed Simakan,5
Daniel Olmo Carvajal,68.85000000000001,19.795454545454547,Nicolas Seiwald,4
Daniel Olmo Carvajal,68.85000000000001,19.795454545454547,Xaver Schlager,7
Daniel Olmo Carvajal,68.85000000000001,19.795454545454547,Xavi Simons,6
David Raum,55.14375,5.278125,Ikoma Loïs Openda,2
David Raum,55.14375,5.278125,Janis Blaswich,7
David Raum,55.14375,5.278125,Junior Castello Lukeba,24
David Raum,55.14375,5.278125,Mohamed Simakan,2
David Raum,55.14375,5.278125,Nicolas Seiwald,6
David Raum,55.14375,5.278125,Xaver Schlager,7
David Raum,55.14375,5.278125,Xavi Simons,2
Ikoma Loïs Openda,79.22,28.1,Janis Blaswich,1
Ikoma Loïs Openda,79.22,28.1,Junior Castello Lukeba,1
Ikoma Loïs Openda,79.22,28.1,Lukas Klostermann,1
Ikoma Loïs Openda,79.22,28.1,Mohamed Simakan,3
Ikoma Loïs Openda,79.22,28.1,Nicolas Seiwald,3
Ikoma Loïs Openda,79.22,28.1,Xaver Schlager,3
Ikoma Loïs Openda,79.22,28.1,Xavi Simons,1
Janis Blaswich,18.545714285714286,38.36857142857143,Junior Castello Lukeba,25
Janis Blaswich,18.545714285714286,38.36857142857143,Lukas Klostermann,12
Janis Blaswich,18.545714285714286,38.36857142857143,Mohamed Simakan,3
Janis Blaswich,18.545714285714286,38.36857142857143,Nicolas Seiwald,6
Janis Blaswich,18.545714285714286,38.36857142857143,Xaver Schlager,8
Janis Blaswich,18.545714285714286,38.36857142857143,Xavi Simons,1
Junior Castello Lukeba,36.531111111111116,22.346666666666668,Lukas Klostermann,8
Junior Castello Lukeba,36.531111111111116,22.346666666666668,Mohamed Simakan,1
Junior Castello Lukeba,36.531111111111116,22.346666666666668,Nicolas Seiwald,12
Junior Castello Lukeba,36.531111111111116,22.346666666666668,Xaver Schlager,10
Junior Castello Lukeba,36.531111111111116,22.346666666666668,Xavi Simons,2
Lukas Klostermann,39.260714285714286,52.52142857142858,Mohamed Simakan,11
Lukas Klostermann,39.260714285714286,52.52142857142858,Nicolas Seiwald,8
Lukas Klostermann,39.260714285714286,52.52142857142858,Xaver Schlager,2
Lukas Klostermann,39.260714285714286,52.52142857142858,Xavi Simons,5
Mohamed Simakan,63.22592592592592,70.31851851851852,Nicolas Seiwald,11
Mohamed Simakan,63.22592592592592,70.31851851851852,Xaver Schlager,1
Mohamed Simakan,63.22592592592592,70.31851851851852,Xavi Simons,13
Nicolas Seiwald,55.925,40.090625,Xaver Schlager,3
Nicolas Seiwald,55.925,40.090625,Xavi Simons,7
Xaver Schlager,63.93076923076923,21.51153846153846,Xavi Simons,5
