player_a,x,y,player_b,pass_count
Florian Neuhaus,54.975,24.2625,Franck Honorat,1
Florian Neuhaus,54.975,24.2625,Joseph Scally,2
Florian Neuhaus,54.975,24.2625,Julian Weigl,8
Florian Neuhaus,54.975,24.2625,Kouadio Emmanuel Koné,2
Florian Neuhaus,54.975,24.2625,Luca Netz,9
Florian Neuhaus,54.975,24.2625,Moritz Nicolas,2
Florian Neuhaus,54.975,24.2625,Nico Elvedi,4
Florian Neuhaus,54.975,24.2625,Robin Hack,2
Florian Neuhaus,54.975,24.2625,Theoson Jordan Siebatcheu,3
Franck Honorat,59.872727272727275,68.02727272727272,Joseph Scally,3
Franck Honorat,59.872727272727275,68.02727272727272,Julian Weigl,1
Franck Honorat,59.872727272727275,68.02727272727272,Kouadio Emmanuel Koné,11
Franck Honorat,59.872727272727275,68.02727272727272,Robin Hack,9
Franck Honorat,59.872727272727275,68.02727272727272,Theoson Jordan Siebatcheu,3
Joseph Scally,35.105555555555554,63.40555555555555,Julian Weigl,6
Joseph Scally,35.105555555555554,63.40555555555555,Kouadio Emmanuel Koné,9
Joseph Scally,35.105555555555554,63.40555555555555,Marvin Friedrich,10
Joseph Scally,35.105555555555554,63.40555555555555,Moritz Nicolas,5
Joseph Scally,35.105555555555554,63.40555555555555,Robin Hack,1
Joseph Scally,35.105555555555554,63.40555555555555,Theoson Jordan Siebatcheu,2
Julian Weigl,49.15185185185185,30.74074074074074,Kouadio Emmanuel Koné,10
Julian Weigl,49.15185185185185,30.74074074074074,Luca Netz,1
Julian Weigl,49.15185185185185,30.74074074074074,Marvin Friedrich,2
Julian Weigl,49.15185185185185,30.74074074074074,Moritz Nicolas,1
Julian Weigl,49.15185185185185,30.74074074074074,Nico Elvedi,10
Julian Weigl,49.15185185185185,30.74074074074074,Robin Hack,5
Kouadio Emmanuel Koné,47.06923076923077,44.176923076923075,Luca Netz,3
Kouadio Emmanuel Koné,47.06923076923077,44.176923076923075,Marvin Friedrich,4
Kouadio Emmanuel Koné,47.06923076923077,44.176923076923075,Nico Elvedi,3
Kouadio Emmanuel Koné,47.06923076923077,44.176923076923075,Robin Hack,5
Kouadio Emmanuel Koné,47.06923076923077,44.176923076923075,Theoson Jordan Siebatcheu,4
Luca Netz,54.409523809523805,6.3047619047619055,Marvin Friedrich,5
Luca Netz,54.409523809523805,6.3047619047619055,Moritz Nicolas,1
Luca Netz,54.409523809523805,6.3047619047619055,Nico Elvedi,13
Luca Netz,54.409523809523805,6.3047619047619055,Robin Hack,4
Luca Netz,54.409523809523805,6.3047619047619055,Theoson Jordan Siebatcheu,3
Marvin Friedrich,24.44545454545454,37.836363636363636,Moritz Nicolas,8
Marvin Friedrich,24.44545454545454,37.836363636363636,Nico Elvedi,10
Marvin Friedrich,24.44545454545454,37.836363636363636,Robin Hack,1
Marvin Friedrich,24.44545454545454,37.836363636363636,Theoson Jordan Siebatcheu,1
Moritz Nicolas,9.346666666666666,40.919999999999995,Nico Elvedi,6
Moritz Nicolas,9.346666666666666,40.919999999999995,Robin Hack,3
Moritz Nicolas,9.346666666666666,40.919999999999995,Theoson Jordan Siebatcheu,5
Nico Elvedi,46.292,13.767999999999999,Robin Hack,1
Nico Elvedi,46.292,13.767999999999999,Theoson Jordan Siebatcheu,1
Robin Hack,68.18666666666667,40.42666666666666,Theoson Jordan Siebatcheu,1
