player_a,x,y,player_b,pass_count
Dejan Ljubicic,42.34285714285714,28.428571428571427,Eric Martel,3
Dejan Ljubicic,42.34285714285714,28.428571428571427,Faride Alidou,1
Dejan Ljubicic,42.34285714285714,28.428571428571427,Julian Chabot,1
Dejan Ljubicic,42.34285714285714,28.428571428571427,Linton Maina,2
Dejan Ljubicic,42.34285714285714,28.428571428571427,Marvin Schwäbe,2
Dejan Ljubicic,42.34285714285714,28.428571428571427,Max Finkgräfe,2
Dejan Ljubicic,42.34285714285714,28.428571428571427,Sargis Adamyan,2
Dejan Ljubicic,42.34285714285714,28.428571428571427,Timo Hübers,1
Eric Martel,59.82222222222222,32.05555555555556,Faride Alidou,1
Eric Martel,59.82222222222222,32.05555555555556,Jan Thielmann,2
Eric Martel,59.82222222222222,32.05555555555556,Julian Chabot,2
Eric Martel,59.82222222222222,32.05555555555556,Max Finkgräfe,3
Eric Martel,59.82222222222222,32.05555555555556,Rasmus Carstensen,3
Eric Martel,59.82222222222222,32.05555555555556,Sargis Adamyan,3
Eric Martel,59.82222222222222,32.05555555555556,Timo Hübers,3
Faride Alidou,72.875,46.9125,Jan Thielmann,1
Faride Alidou,72.875,46.9125,Julian Chabot,1
Faride Alidou,72.875,46.9125,Marvin Schwäbe,1
Faride Alidou,72.875,46.9125,Max Finkgräfe,2
Faride Alidou,72.875,46.9125,Rasmus Carstensen,5
Faride Alidou,72.875,46.9125,Sargis Adamyan,4
Faride Alidou,72.875,46.9125,Timo Hübers,1
Julian Chabot,25.486666666666668,26.706666666666667,Marvin Schwäbe,9
Julian Chabot,25.486666666666668,26.706666666666667,Max Finkgräfe,5
Julian Chabot,25.486666666666668,26.706666666666667,Timo Hübers,8
Linton Maina,61.4125,17.2125,Max Finkgräfe,6
Linton Maina,61.4125,17.2125,Rasmus Carstensen,4
Linton Maina,61.4125,17.2125,Sargis Adamyan,4
Marvin Schwäbe,10.322222222222223,43.58888888888889,Max Finkgräfe,2
Marvin Schwäbe,10.322222222222223,43.58888888888889,Sargis Adamyan,1
Marvin Schwäbe,10.322222222222223,43.58888888888889,Timo Hübers,7
Max Finkgräfe,45.58571428571429,6.707142857142857,Sargis Adamyan,2
Max Finkgräfe,45.58571428571429,6.707142857142857,Timo Hübers,2
Rasmus Carstensen,56.114285714285714,68.79285714285714,Sargis Adamyan,3
Rasmus Carstensen,56.114285714285714,68.79285714285714,Timo Hübers,9
Sargis Adamyan,48.93333333333334,27.71666666666667,Timo Hübers,2
