player_a,x,y,player_b,pass_count
Cédric Zesiger,39.011111111111106,14.944444444444445,Kevin Paredes,3
Cédric Zesiger,39.011111111111106,14.944444444444445,Koen Casteels,2
Cédric Zesiger,39.011111111111106,14.944444444444445,Maxence Lacroix,1
Cédric Zesiger,39.011111111111106,14.944444444444445,Moritz Jenz,6
Cédric Zesiger,39.011111111111106,14.944444444444445,Tiago Barreiros de Melo Tomás,3
Cédric Zesiger,39.011111111111106,14.944444444444445,Yannick Gerhardt,2
Kevin Paredes,43.06,9.27,Maximilian Arnold,4
Kevin Paredes,43.06,9.27,Moritz Jenz,5
Kevin Paredes,43.06,9.27,Tiago Barreiros de Melo Tomás,4
Koen Casteels,11.4,41.18333333333333,Lovro Majer,1
Koen Casteels,11.4,41.18333333333333,Maxence Lacroix,6
Koen Casteels,11.4,41.18333333333333,Maximilian Arnold,8
Koen Casteels,11.4,41.18333333333333,Moritz Jenz,2
Koen Casteels,11.4,41.18333333333333,Ridle Bote Baku,2
Koen Casteels,11.4,41.18333333333333,Yannick Gerhardt,4
Lovro Majer,69.2,68.51666666666667,Maxence Lacroix,3
Lovro Majer,69.2,68.51666666666667,Maximilian Arnold,3
Lovro Majer,69.2,68.51666666666667,Moritz Jenz,1
Lovro Majer,69.2,68.51666666666667,Ridle Bote Baku,7
Lovro Majer,69.2,68.51666666666667,Tiago Barreiros de Melo Tomás,3
Lovro Majer,69.2,68.51666666666667,Yannick Gerhardt,7
Maxence Lacroix,33.07272727272727,62.872727272727275,Maximilian Arnold,2
Maxence Lacroix,33.07272727272727,62.872727272727275,Moritz Jenz,1
Maxence Lacroix,33.07272727272727,62.872727272727275,Ridle Bote Baku,1
Maxence Lacroix,33.07272727272727,62.872727272727275,Yannick Gerhardt,4
Maximilian Arnold,52.825,44.85,Moritz Jenz,1
Maximilian Arnold,52.825,44.85,Ridle Bote Baku,5
Maximilian Arnold,52.825,44.85,Tiago Barreiros de Melo Tomás,1
Maximilian Arnold,52.825,44.85,Yannick Gerhardt,1
Moritz Jenz,29.072727272727274,26.79090909090909,Yannick Gerhardt,4
Ridle Bote Baku,73.7625,65.725,Tiago Barreiros de Melo Tomás,2
Ridle Bote Baku,73.7625,65.725,Yannick Gerhardt,2
Tiago Barreiros de Melo Tomás,67.38333333333334,29.400000000000002,Yannick Gerhardt,1
