player_a,x,y,player_b,pass_count
Christian Groß,39.707843137254905,48.666666666666664,Julián Malatini,18
Christian Groß,39.707843137254905,48.666666666666664,Leonardo Bittencourt,15
Christian Groß,39.707843137254905,48.666666666666664,Marvin Ducksch,2
Christian Groß,39.707843137254905,48.666666666666664,Michael Zetterer,19
Christian Groß,39.707843137254905,48.666666666666664,Milos Veljkovic,18
Christian Groß,39.707843137254905,48.666666666666664,Mitchell Weiser,4
Christian Groß,39.707843137254905,48.666666666666664,Nick Woltemade,3
Christian Groß,39.707843137254905,48.666666666666664,Romano Schmid,3
Christian Groß,39.707843137254905,48.666666666666664,Senne Lynen,16
Felix Agu,49.71923076923077,8.546153846153846,Leonardo Bittencourt,5
Felix Agu,49.71923076923077,8.546153846153846,Marvin Ducksch,1
Felix Agu,49.71923076923077,8.546153846153846,Michael Zetterer,1
Felix Agu,49.71923076923077,8.546153846153846,Milos Veljkovic,20
Felix Agu,49.71923076923077,8.546153846153846,Mitchell Weiser,1
Felix Agu,49.71923076923077,8.546153846153846,Nick Woltemade,2
Felix Agu,49.71923076923077,8.546153846153846,Romano Schmid,13
Felix Agu,49.71923076923077,8.546153846153846,Senne Lynen,9
Julián Malatini,46.74857142857143,65.80285714285714,Leonardo Bittencourt,12
Julián Malatini,46.74857142857143,65.80285714285714,Michael Zetterer,7
Julián Malatini,46.74857142857143,65.80285714285714,Milos Veljkovic,7
Julián Malatini,46.74857142857143,65.80285714285714,Mitchell Weiser,7
Julián Malatini,46.74857142857143,65.80285714285714,Nick Woltemade,1
Julián Malatini,46.74857142857143,65.80285714285714,Romano Schmid,3
Julián Malatini,46.74857142857143,65.80285714285714,Senne Lynen,14
Leonardo Bittencourt,58.11190476190476,48.93571428571429,Marvin Ducksch,4
Leonardo Bittencourt,58.11190476190476,48.93571428571429,Michael Zetterer,1
Leonardo Bittencourt,58.11190476190476,48.93571428571429,Milos Veljkovic,8
Leonardo Bittencourt,58.11190476190476,48.93571428571429,Mitchell Weiser,11
Leonardo Bittencourt,58.11190476190476,48.93571428571429,Nick Woltemade,5
Leonardo Bittencourt,58.11190476190476,48.93571428571429,Romano Schmid,12
Leonardo Bittencourt,58.11190476190476,48.93571428571429,Senne Lynen,16
Marvin Ducksch,66.8,41.64,Michael Zetterer,1
Marvin Ducksch,66.8,41.64,Mitchell Weiser,3
Marvin Ducksch,66.8,41.64,Nick Woltemade,7
Marvin Ducksch,66.8,41.64,Romano Schmid,4
Michael Zetterer,13.850000000000001,39.5,Milos Veljkovic,16
Michael Zetterer,13.850000000000001,39.5,Mitchell Weiser,2
Michael Zetterer,13.850000000000001,39.5,Nick Woltemade,1
Michael Zetterer,13.850000000000001,39.5,Romano Schmid,11
Michael Zetterer,13.850000000000001,39.5,Senne Lynen,8
Milos Veljkovic,38.885999999999996,23.592,Mitchell Weiser,1
Milos Veljkovic,38.885999999999996,23.592,Nick Woltemade,1
Milos Veljkovic,38.885999999999996,23.592,Romano Schmid,7
Milos Veljkovic,38.885999999999996,23.592,Senne Lynen,18
Mitchell Weiser,64.2,72.89999999999999,Nick Woltemade,6
Mitchell Weiser,64.2,72.89999999999999,Romano Schmid,2
Mitchell Weiser,64.2,72.89999999999999,Senne Lynen,1
Nick Woltemade,68.88461538461539,47.02307692307692,Romano Schmid,2
Romano Schmid,56.31071428571429,22.639285714285712,Senne Lynen,8
