player_a,x,y,player_b,pass_count
Alexander Nübel,12.90263157894737,40.397368421052626,Atakan Karazor,4
Alexander Nübel,12.90263157894737,40.397368421052626,Chris Führich,2
Alexander Nübel,12.90263157894737,40.397368421052626,Enzo Millot,14
Alexander Nübel,12.90263157894737,40.397368421052626,Hiroki Ito,28
Alexander Nübel,12.90263157894737,40.397368421052626,Jamie Leweling,1
Alexander Nübel,12.90263157894737,40.397368421052626,Leonidas Stergiou,2
Alexander Nübel,12.90263157894737,40.397368421052626,Maximilian Mittelstädt,5
Alexander Nübel,12.90263157894737,40.397368421052626,Serhou Guirassy,3
Alexander Nübel,12.90263157894737,40.397368421052626,Waldemar Anton,12
Atakan Karazor,57.49444444444444,38.898148148148145,Chris Führich,9
Atakan Karazor,57.49444444444444,38.898148148148145,Deniz Undav,4
Atakan Karazor,57.49444444444444,38.898148148148145,Enzo Millot,24
Atakan Karazor,57.49444444444444,38.898148148148145,Hiroki Ito,16
Atakan Karazor,57.49444444444444,38.898148148148145,Jamie Leweling,9
Atakan Karazor,57.49444444444444,38.898148148148145,Leonidas Stergiou,9
Atakan Karazor,57.49444444444444,38.898148148148145,Maximilian Mittelstädt,5
Atakan Karazor,57.49444444444444,38.898148148148145,Serhou Guirassy,10
Atakan Karazor,57.49444444444444,38.898148148148145,Waldemar Anton,15
Chris Führich,72.80625,15.55,Deniz Undav,4
Chris Führich,72.80625,15.55,Enzo Millot,5
Chris Führich,72.80625,15.55,Hiroki Ito,4
Chris Führich,72.80625,15.55,Jamie Leweling,2
Chris Führich,72.80625,15.55,Leonidas Stergiou,1
Chris Führich,72.80625,15.55,Maximilian Mittelstädt,6
Chris Führich,72.80625,15.55,Serhou Guirassy,5
Chris Führich,72.80625,15.55,Waldemar Anton,1
Deniz Undav,78.8153846153846,54.99230769230769,Enzo Millot,1
Deniz Undav,78.8153846153846,54.99230769230769,Hiroki Ito,2
Deniz Undav,78.8153846153846,54.99230769230769,Jamie Leweling,7
Deniz Undav,78.8153846153846,54.99230769230769,Leonidas Stergiou,3
Deniz Undav,78.8153846153846,54.99230769230769,Serhou Guirassy,5
Deniz Undav,78.8153846153846,54.99230769230769,Waldemar Anton,3
Enzo Millot,51.09516129032258,40.67903225806452,Hiroki Ito,17
Enzo Millot,51.09516129032258,40.67903225806452,Jamie Leweling,5
Enzo Millot,51.09516129032258,40.67903225806452,Leonidas Stergiou,11
Enzo Millot,51.09516129032258,40.67903225806452,Maximilian Mittelstädt,13
Enzo Millot,51.09516129032258,40.67903225806452,Serhou Guirassy,4
Enzo Millot,51.09516129032258,40.67903225806452,Waldemar Anton,23
Hiroki Ito,38.4,21.836363636363636,Jamie Leweling,2
Hiroki Ito,38.4,21.836363636363636,Maximilian Mittelstädt,12
Hiroki Ito,38.4,21.836363636363636,Serhou Guirassy,8
Hiroki Ito,38.4,21.836363636363636,Waldemar Anton,14
Jamie Leweling,73.55,66.66818181818182,Leonidas Stergiou,11
Jamie Leweling,73.55,66.66818181818182,Serhou Guirassy,7
Jamie Leweling,73.55,66.66818181818182,Waldemar Anton,7
Leonidas Stergiou,67.9375,64.17083333333333,Serhou Guirassy,7
Leonidas Stergiou,67.9375,64.17083333333333,Waldemar Anton,4
Maximilian Mittelstädt,44.87931034482759,9.789655172413791,Serhou Guirassy,10
Maximilian Mittelstädt,44.87931034482759,9.789655172413791,Waldemar Anton,3
Serhou Guirassy,70.23461538461538,42.51153846153846,Waldemar Anton,3
